yields|title|instructions|modifications|link|unit|amount|item
5.0|Pizzateig|"Zirka 600g des Mehls in eine Rührschüssel geben, dazu 625 ml Wasser, die Hefe (ein Sackerl - ""für 1/2 kg Mehl"" - und das Salz.

Kurz rüheren und 20 Minuten stehen lassen.

4 Minuten rühren, dann nach und nach das restliche Mehl einrühren.

Wieder 20 Minuten stehen lassen.

Den Teig aus der Schüssel auf ein bemehltes Brett stürzen. Kurz durchkneten und mit dem Messer in die gewünschten Portionen teilen. Jede Portion kurz durchkneten und die die Kugeln einzeln lagern, vor dem Austrocknen schützen.

12-24 Stunden gehen lassen (nicht unbedingt im Kühlschrank).


Die Pizze ausrollen und belegen: Die unterste Schicht ist eine Tomatensauce / Tomatenmark mit Olivenöl. Darüber Pizzakäse und schließlich die gewünschte Auflage. Mit wenig Oregano würzen.

Bei maximaler Heißluft 15 Minuten backen."|"15 Minuten im Ofen ist zu lang - nächstes Mal mit 10 Minuten versuchen!

Teig vorher ausrollen?!

Die Zutaten (Tomatensauce!) sollten nicht mehr gesalzen werden."|http://www.perfekte-pizza.de/perfekter-pizzateig/|kg|1.0|Mehl griffig 405
5.0|Pizzateig|"Zirka 600g des Mehls in eine Rührschüssel geben, dazu 625 ml Wasser, die Hefe (ein Sackerl - ""für 1/2 kg Mehl"" - und das Salz.

Kurz rüheren und 20 Minuten stehen lassen.

4 Minuten rühren, dann nach und nach das restliche Mehl einrühren.

Wieder 20 Minuten stehen lassen.

Den Teig aus der Schüssel auf ein bemehltes Brett stürzen. Kurz durchkneten und mit dem Messer in die gewünschten Portionen teilen. Jede Portion kurz durchkneten und die die Kugeln einzeln lagern, vor dem Austrocknen schützen.

12-24 Stunden gehen lassen (nicht unbedingt im Kühlschrank).


Die Pizze ausrollen und belegen: Die unterste Schicht ist eine Tomatensauce / Tomatenmark mit Olivenöl. Darüber Pizzakäse und schließlich die gewünschte Auflage. Mit wenig Oregano würzen.

Bei maximaler Heißluft 15 Minuten backen."|"15 Minuten im Ofen ist zu lang - nächstes Mal mit 10 Minuten versuchen!

Teig vorher ausrollen?!

Die Zutaten (Tomatensauce!) sollten nicht mehr gesalzen werden."|http://www.perfekte-pizza.de/perfekter-pizzateig/|g|30.0|Salz
5.0|Pizzateig|"Zirka 600g des Mehls in eine Rührschüssel geben, dazu 625 ml Wasser, die Hefe (ein Sackerl - ""für 1/2 kg Mehl"" - und das Salz.

Kurz rüheren und 20 Minuten stehen lassen.

4 Minuten rühren, dann nach und nach das restliche Mehl einrühren.

Wieder 20 Minuten stehen lassen.

Den Teig aus der Schüssel auf ein bemehltes Brett stürzen. Kurz durchkneten und mit dem Messer in die gewünschten Portionen teilen. Jede Portion kurz durchkneten und die die Kugeln einzeln lagern, vor dem Austrocknen schützen.

12-24 Stunden gehen lassen (nicht unbedingt im Kühlschrank).


Die Pizze ausrollen und belegen: Die unterste Schicht ist eine Tomatensauce / Tomatenmark mit Olivenöl. Darüber Pizzakäse und schließlich die gewünschte Auflage. Mit wenig Oregano würzen.

Bei maximaler Heißluft 15 Minuten backen."|"15 Minuten im Ofen ist zu lang - nächstes Mal mit 10 Minuten versuchen!

Teig vorher ausrollen?!

Die Zutaten (Tomatensauce!) sollten nicht mehr gesalzen werden."|http://www.perfekte-pizza.de/perfekter-pizzateig/|ml|625.0|Wasser
5.0|Pizzateig|"Zirka 600g des Mehls in eine Rührschüssel geben, dazu 625 ml Wasser, die Hefe (ein Sackerl - ""für 1/2 kg Mehl"" - und das Salz.

Kurz rüheren und 20 Minuten stehen lassen.

4 Minuten rühren, dann nach und nach das restliche Mehl einrühren.

Wieder 20 Minuten stehen lassen.

Den Teig aus der Schüssel auf ein bemehltes Brett stürzen. Kurz durchkneten und mit dem Messer in die gewünschten Portionen teilen. Jede Portion kurz durchkneten und die die Kugeln einzeln lagern, vor dem Austrocknen schützen.

12-24 Stunden gehen lassen (nicht unbedingt im Kühlschrank).


Die Pizze ausrollen und belegen: Die unterste Schicht ist eine Tomatensauce / Tomatenmark mit Olivenöl. Darüber Pizzakäse und schließlich die gewünschte Auflage. Mit wenig Oregano würzen.

Bei maximaler Heißluft 15 Minuten backen."|"15 Minuten im Ofen ist zu lang - nächstes Mal mit 10 Minuten versuchen!

Teig vorher ausrollen?!

Die Zutaten (Tomatensauce!) sollten nicht mehr gesalzen werden."|http://www.perfekte-pizza.de/perfekter-pizzateig/|Paket|0.5|Hefe
2.0|Boeuf Strogranoff|"Die Filetspitzen in Streifen schneiden, mit Salz und Pfeffer würzen und in etwas Olivenöl scharf anbraten. Nun das Fleisch aus der Pfanne nehmen und warm stellen.


Im Bratenrückstand wird etwas Butter zerlassen und darin die fein gehackte Zwiebel angeschwitzt. Nun werden die streifig geschnittenen Essiggurkerl und die fein blättrig geschnittenen Champignons beigegeben und so lange mitgeröstet, bis das ausgetretene Wasser verdampft ist.


Dann das Paprikapulver dazugeben und kurz mitrösten (nicht zu lange, damit der Paprika nicht bitter wird). Anschließend mit Weißwein ablöschen und mit Suppe aufgießen.


Das warmgestellte Fleisch wieder beigebeben und die Sauce ca. 5 Minuten einreduzieren lassen. Nun die fein gehackte Petersilie dazugeben, mit Salz und Pfeffer abschmecken und mit etwas Butter montieren.


Schließlich noch mit Obers verfeinern. Falls notwendig kann man die Sauce mit etwas Maizena binden.


Das Boeuf Stroganoff Fleisch wird auf Nudeln, Bandnudeln oder auf beliebigen Teigwaren garniert."|"Fleisch muss wirklich klein geschnitten werden (sonst wird es hart).

Wok ist nicht ideal -&gt; sollte besser eine Pfanne mit sehr großer Oberfläche sein.

Kapern eventuell zerkleinern, und nicht zuviele davon verwenden."||g|20.0|Butter
2.0|Boeuf Strogranoff|"Die Filetspitzen in Streifen schneiden, mit Salz und Pfeffer würzen und in etwas Olivenöl scharf anbraten. Nun das Fleisch aus der Pfanne nehmen und warm stellen.


Im Bratenrückstand wird etwas Butter zerlassen und darin die fein gehackte Zwiebel angeschwitzt. Nun werden die streifig geschnittenen Essiggurkerl und die fein blättrig geschnittenen Champignons beigegeben und so lange mitgeröstet, bis das ausgetretene Wasser verdampft ist.


Dann das Paprikapulver dazugeben und kurz mitrösten (nicht zu lange, damit der Paprika nicht bitter wird). Anschließend mit Weißwein ablöschen und mit Suppe aufgießen.


Das warmgestellte Fleisch wieder beigebeben und die Sauce ca. 5 Minuten einreduzieren lassen. Nun die fein gehackte Petersilie dazugeben, mit Salz und Pfeffer abschmecken und mit etwas Butter montieren.


Schließlich noch mit Obers verfeinern. Falls notwendig kann man die Sauce mit etwas Maizena binden.


Das Boeuf Stroganoff Fleisch wird auf Nudeln, Bandnudeln oder auf beliebigen Teigwaren garniert."|"Fleisch muss wirklich klein geschnitten werden (sonst wird es hart).

Wok ist nicht ideal -&gt; sollte besser eine Pfanne mit sehr großer Oberfläche sein.

Kapern eventuell zerkleinern, und nicht zuviele davon verwenden."||g|150.0|Champignons
2.0|Boeuf Strogranoff|"Die Filetspitzen in Streifen schneiden, mit Salz und Pfeffer würzen und in etwas Olivenöl scharf anbraten. Nun das Fleisch aus der Pfanne nehmen und warm stellen.


Im Bratenrückstand wird etwas Butter zerlassen und darin die fein gehackte Zwiebel angeschwitzt. Nun werden die streifig geschnittenen Essiggurkerl und die fein blättrig geschnittenen Champignons beigegeben und so lange mitgeröstet, bis das ausgetretene Wasser verdampft ist.


Dann das Paprikapulver dazugeben und kurz mitrösten (nicht zu lange, damit der Paprika nicht bitter wird). Anschließend mit Weißwein ablöschen und mit Suppe aufgießen.


Das warmgestellte Fleisch wieder beigebeben und die Sauce ca. 5 Minuten einreduzieren lassen. Nun die fein gehackte Petersilie dazugeben, mit Salz und Pfeffer abschmecken und mit etwas Butter montieren.


Schließlich noch mit Obers verfeinern. Falls notwendig kann man die Sauce mit etwas Maizena binden.


Das Boeuf Stroganoff Fleisch wird auf Nudeln, Bandnudeln oder auf beliebigen Teigwaren garniert."|"Fleisch muss wirklich klein geschnitten werden (sonst wird es hart).

Wok ist nicht ideal -&gt; sollte besser eine Pfanne mit sehr großer Oberfläche sein.

Kapern eventuell zerkleinern, und nicht zuviele davon verwenden."||St.|2.0|Essiggurkerl
2.0|Boeuf Strogranoff|"Die Filetspitzen in Streifen schneiden, mit Salz und Pfeffer würzen und in etwas Olivenöl scharf anbraten. Nun das Fleisch aus der Pfanne nehmen und warm stellen.


Im Bratenrückstand wird etwas Butter zerlassen und darin die fein gehackte Zwiebel angeschwitzt. Nun werden die streifig geschnittenen Essiggurkerl und die fein blättrig geschnittenen Champignons beigegeben und so lange mitgeröstet, bis das ausgetretene Wasser verdampft ist.


Dann das Paprikapulver dazugeben und kurz mitrösten (nicht zu lange, damit der Paprika nicht bitter wird). Anschließend mit Weißwein ablöschen und mit Suppe aufgießen.


Das warmgestellte Fleisch wieder beigebeben und die Sauce ca. 5 Minuten einreduzieren lassen. Nun die fein gehackte Petersilie dazugeben, mit Salz und Pfeffer abschmecken und mit etwas Butter montieren.


Schließlich noch mit Obers verfeinern. Falls notwendig kann man die Sauce mit etwas Maizena binden.


Das Boeuf Stroganoff Fleisch wird auf Nudeln, Bandnudeln oder auf beliebigen Teigwaren garniert."|"Fleisch muss wirklich klein geschnitten werden (sonst wird es hart).

Wok ist nicht ideal -&gt; sollte besser eine Pfanne mit sehr großer Oberfläche sein.

Kapern eventuell zerkleinern, und nicht zuviele davon verwenden."||TL|2.0|Paprika edelsüß
2.0|Boeuf Strogranoff|"Die Filetspitzen in Streifen schneiden, mit Salz und Pfeffer würzen und in etwas Olivenöl scharf anbraten. Nun das Fleisch aus der Pfanne nehmen und warm stellen.


Im Bratenrückstand wird etwas Butter zerlassen und darin die fein gehackte Zwiebel angeschwitzt. Nun werden die streifig geschnittenen Essiggurkerl und die fein blättrig geschnittenen Champignons beigegeben und so lange mitgeröstet, bis das ausgetretene Wasser verdampft ist.


Dann das Paprikapulver dazugeben und kurz mitrösten (nicht zu lange, damit der Paprika nicht bitter wird). Anschließend mit Weißwein ablöschen und mit Suppe aufgießen.


Das warmgestellte Fleisch wieder beigebeben und die Sauce ca. 5 Minuten einreduzieren lassen. Nun die fein gehackte Petersilie dazugeben, mit Salz und Pfeffer abschmecken und mit etwas Butter montieren.


Schließlich noch mit Obers verfeinern. Falls notwendig kann man die Sauce mit etwas Maizena binden.


Das Boeuf Stroganoff Fleisch wird auf Nudeln, Bandnudeln oder auf beliebigen Teigwaren garniert."|"Fleisch muss wirklich klein geschnitten werden (sonst wird es hart).

Wok ist nicht ideal -&gt; sollte besser eine Pfanne mit sehr großer Oberfläche sein.

Kapern eventuell zerkleinern, und nicht zuviele davon verwenden."||g|400.0|Rinderlungenbraten
2.0|Boeuf Strogranoff|"Die Filetspitzen in Streifen schneiden, mit Salz und Pfeffer würzen und in etwas Olivenöl scharf anbraten. Nun das Fleisch aus der Pfanne nehmen und warm stellen.


Im Bratenrückstand wird etwas Butter zerlassen und darin die fein gehackte Zwiebel angeschwitzt. Nun werden die streifig geschnittenen Essiggurkerl und die fein blättrig geschnittenen Champignons beigegeben und so lange mitgeröstet, bis das ausgetretene Wasser verdampft ist.


Dann das Paprikapulver dazugeben und kurz mitrösten (nicht zu lange, damit der Paprika nicht bitter wird). Anschließend mit Weißwein ablöschen und mit Suppe aufgießen.


Das warmgestellte Fleisch wieder beigebeben und die Sauce ca. 5 Minuten einreduzieren lassen. Nun die fein gehackte Petersilie dazugeben, mit Salz und Pfeffer abschmecken und mit etwas Butter montieren.


Schließlich noch mit Obers verfeinern. Falls notwendig kann man die Sauce mit etwas Maizena binden.


Das Boeuf Stroganoff Fleisch wird auf Nudeln, Bandnudeln oder auf beliebigen Teigwaren garniert."|"Fleisch muss wirklich klein geschnitten werden (sonst wird es hart).

Wok ist nicht ideal -&gt; sollte besser eine Pfanne mit sehr großer Oberfläche sein.

Kapern eventuell zerkleinern, und nicht zuviele davon verwenden."||ml|200.0|Rindsuppe
